move, won, played
ROOT,2285.0, 4792
ROOT,2368.0, 5424
ROOT,2789.5, 5726
ROOT,3039.0, 6184
ROOT,3386.0, 6421
ROOT,3046.0, 6320
ROOT,3939.0, 7122
ROOT,3731.5, 7194
ROOT,4738.0, 7365
ROOT,4037.5, 7266
ROOT,3783.5, 6701
ROOT,4906.5, 7473
ROOT,5330.0, 8079
ROOT,7033.5, 8889
ROOT,6898.5, 8952
ROOT,6690.5, 8978
ROOT,6642.5, 9226
ROOT,7024.0, 9563
ROOT,6161.0, 8874
ROOT,6939.0, 9362
ROOT,6425.0, 9234
ROOT,7318.0, 10034
ROOT,8325.5, 10650
ROOT,6602.5, 9113
ROOT,6142.5, 8538
ROOT,6412.5, 8791
ROOT,6836.0, 9105
ROOT,5340.5, 7646
ROOT,4759.0, 7074
ROOT,5187.0, 7546
ROOT,5497.0, 8100
ROOT,6018.0, 8605
ROOT,6408.5, 8927
ROOT,5517.5, 8419
ROOT,6239.0, 8843
ROOT,5972.0, 8248
ROOT,7732.0, 9926
ROOT,9998.0, 12326
ROOT,12438.5, 14861
ROOT,13236.5, 15315
ROOT,11574.5, 13430
ROOT,10263.5, 11871
ROOT,11050.5, 12720
ROOT,10991.0, 12431
ROOT,10655.5, 12122
ROOT,10717.5, 12029
ROOT,17055.5, 18739
ROOT,16441.5, 17749
ROOT,17748.0, 19448
ROOT,17657.5, 18989
ROOT,20928.0, 22779
ROOT,17261.5, 19445
ROOT,15959.5, 18053
ROOT,18230.5, 20360
ROOT,16186.5, 18383
ROOT,18674.0, 20938
ROOT,16715.5, 18953
ROOT,18461.5, 20632
ROOT,16399.5, 18492
ROOT,18453.5, 20681
ROOT,16586.5, 18728
ROOT,18564.0, 20871
ROOT,17753.0, 19969
ROOT,19560.5, 21739
ROOT,20158.0, 22685
ROOT,19833.5, 22090
ROOT,17276.5, 19518
ROOT,18183.5, 20274
ROOT,17923.0, 20367
ROOT,18039.5, 20078
ROOT,17699.5, 19867
ROOT,20411.0, 22655
ROOT,17120.0, 19438
ROOT,17213.5, 19283
ROOT,16455.0, 18625
ROOT,15059.5, 16994
Draw 151.
